Zeruhn report   \xFD\x13\x02\x00\x01\xFD
map of Silver Sea Remnants    \xFD\x13\x02\x07\x56\xFD
map of Vunkerl Inlet    \xFD\x13\x02\x07\x57\xFD
map of Everbloom Hollow   \xFD\x13\x02\x07\x58\xFD
map of Grauberg   \xFD\x13\x02\x07\x59\xFD
map of Ruhotz Silvermines   \xFD\x13\x02\x07\x5A\xFD
map of Fort Karugo-Narugo   \xFD\x13\x02\x07\x5B\xFD
map of Ghoyu's Reverie    \xFD\x13\x02\x07\x5C\xFD
-Magical Maps   \xFD\x13\x02\x00\x00\xFD
Nice to meet you    \xFD\x02\x02\x01\x01\xFD
See you again!    \xFD\x02\x02\x01\x02\xFD
Good morning!   \xFD\x02\x02\x01\x03\xFD
Good evening!   \xFD\x02\x02\x01\x04\xFD
I'm sorry   \xFD\x02\x02\x01\x05\xFD
Good bye    \xFD\x02\x02\x01\x06\xFD
Take care   \xFD\x02\x02\x01\x07\xFD
Good night!   \xFD\x02\x02\x01\x08\xFD
I'm back!   \xFD\x02\x02\x01\x09\xFD
Excuse me   \xFD\x02\x02\x01\x0A\xFD
Hello!    \xFD\x02\x02\x01\x0B\xFD
Thank you   \xFD\x02\x02\x01\x0C\xFD
Please forgive me   \xFD\x02\x02\x01\x0D\xFD
That's too bad    \xFD\x02\x02\x01\x0E\xFD
Congratulations!    \xFD\x02\x02\x01\x0F\xFD
Good job!   \xFD\x02\x02\x01\x10\xFD
All right!    \xFD\x02\x02\x01\x11\xFD
Welcome back    \xFD\x02\x02\x01\x12\xFD
You're welcome    \xFD\x02\x02\x01\x13\xFD
Good luck!    \xFD\x02\x02\x01\x14\xFD
Who?    \xFD\x02\x02\x02\x01\xFD
Which?    \xFD\x02\x02\x02\x02\xFD
How?    \xFD\x02\x02\x02\x03\xFD
What?   \xFD\x02\x02\x02\x04\xFD
Do you have it?   \xFD\x02\x02\x02\x05\xFD
Where?    \xFD\x02\x02\x02\x06\xFD
What's the battle plan?   \xFD\x02\x02\x02\x07\xFD
When?   \xFD\x02\x02\x02\x08\xFD
Do you need any help?   \xFD\x02\x02\x02\x09\xFD
In what order shall we do our weapon skills?    \xFD\x02\x02\x02\x0A\xFD
What weapons can you use?   \xFD\x02\x02\x02\x0B\xFD
Can I add you to my friend list?    \xFD\x02\x02\x02\x0C\xFD
I don't understand    \xFD\x02\x02\x03\x01\xFD
No thanks   \xFD\x02\x02\x03\x02\xFD
Yes, please   \xFD\x02\x02\x03\x03\xFD
Understood    \xFD\x02\x02\x03\x04\xFD
I'm sorry. I'm busy now   \xFD\x02\x02\x03\x05\xFD
I'm playing solo right now    \xFD\x02\x02\x03\x06\xFD
I don't know how to answer that question    \xFD\x02\x02\x03\x07\xFD
I see   \xFD\x02\x02\x03\x08\xFD
Thanks for the offer, but I'll have to pass   \xFD\x02\x02\x03\x09\xFD
That's interesting    \xFD\x02\x02\x03\x0A\xFD
Um    \xFD\x02\x02\x03\x0B\xFD
Huh!?   \xFD\x02\x02\x03\x0C\xFD
Really?   \xFD\x02\x02\x03\x0D\xFD
Hmmm    \xFD\x02\x02\x03\x0E\xFD
I have to go soon   \xFD\x02\x02\x03\x0F\xFD
Even match    \xFD\x02\x02\x04\x01\xFD
Too weak    \xFD\x02\x02\x04\x02\xFD
Incredibly tough    \xFD\x02\x02\x04\x03\xFD
Tough   \xFD\x02\x02\x04\x04\xFD
Decent challenge    \xFD\x02\x02\x04\x05\xFD
Easy prey   \xFD\x02\x02\x04\x06\xFD
Very tough    \xFD\x02\x02\x04\x07\xFD
Impossible to gauge   \xFD\x02\x02\x04\x08\xFD
I'll follow you   \xFD\x02\x02\x05\x01\xFD
Please check it   \xFD\x02\x02\x05\x02\xFD
Standing by   \xFD\x02\x02\x05\x03\xFD
No more MP!   \xFD\x02\x02\x05\x04\xFD
Ready!    \xFD\x02\x02\x05\x05\xFD
Healing!    \xFD\x02\x02\x05\x06\xFD
Defeat this one first!    \xFD\x02\x02\x05\x07\xFD
Heal!   \xFD\x02\x02\x05\x08\xFD
Run away!   \xFD\x02\x02\x05\x09\xFD
Found it!   \xFD\x02\x02\x05\x0A\xFD
Full attack!    \xFD\x02\x02\x05\x0B\xFD
Pull back   \xFD\x02\x02\x05\x0C\xFD
Ready to start Skillchain!    \xFD\x02\x02\x05\x0D\xFD
Setting Home Point    \xFD\x02\x02\x05\x0E\xFD
Jumping to new area   \xFD\x02\x02\x05\x0F\xFD
Help me out!    \xFD\x02\x02\x05\x10\xFD
Let's rest for a while    \xFD\x02\x02\x05\x11\xFD
Stop!   \xFD\x02\x02\x05\x12\xFD
Front line job    \xFD\x02\x02\x05\x13\xFD
Support role job    \xFD\x02\x02\x05\x14\xFD
Back line job   \xFD\x02\x02\x05\x15\xFD
Detects by sound    \xFD\x02\x02\x05\x16\xFD
Detects by sight    \xFD\x02\x02\x05\x17\xFD
Detects by smell    \xFD\x02\x02\x05\x18\xFD
Detects spellcasting    \xFD\x02\x02\x05\x19\xFD
Detects low HP    \xFD\x02\x02\x05\x1A\xFD
Please follow   \xFD\x02\x02\x05\x1B\xFD
R3 button   \xFD\x02\x02\x06\x01\xFD
△ button    \xFD\x02\x02\x06\x02\xFD
○ button    \xFD\x02\x02\x06\x03\xFD
L1 button   \xFD\x02\x02\x06\x04\xFD
L2 button   \xFD\x02\x02\x06\x05\xFD
L3 button   \xFD\x02\x02\x06\x06\xFD
□ button    \xFD\x02\x02\x06\x07\xFD
R2 button   \xFD\x02\x02\x06\x08\xFD
× button    \xFD\x02\x02\x06\x09\xFD
Analog Stick    \xFD\x02\x02\x06\x0A\xFD
START button    \xFD\x02\x02\x06\x0B\xFD
SELECT button   \xFD\x02\x02\x06\x0C\xFD
Directional button    \xFD\x02\x02\x06\x0D\xFD
R1 button   \xFD\x02\x02\x06\x0E\xFD
Directional pad   \xFD\x02\x02\x06\x0F\xFD
Expansion port    \xFD\x02\x02\x06\x10\xFD
Trigger   \xFD\x02\x02\x06\x11\xFD
Xbox Guide button   \xFD\x02\x02\x06\x12\xFD
Xbox Guide button   \xFD\x02\x02\x06\x13\xFD
Numeric keypad    \xFD\x02\x02\x07\x01\xFD
Arrow keys    \xFD\x02\x02\x07\x02\xFD
Tab key   \xFD\x02\x02\x07\x03\xFD
Enter key   \xFD\x02\x02\x07\x04\xFD
End key   \xFD\x02\x02\x07\x05\xFD
Num Lock key    \xFD\x02\x02\x07\x06\xFD
Function keys   \xFD\x02\x02\x07\x07\xFD
Spacebar    \xFD\x02\x02\x07\x08\xFD
Backspace key   \xFD\x02\x02\x07\x09\xFD
Hankaku/Zenkaku key   \xFD\x02\x02\x07\x0A\xFD
Alt key   \xFD\x02\x02\x07\x0B\xFD
Insert key    \xFD\x02\x02\x07\x0C\xFD
Page Down key   \xFD\x02\x02\x07\x0D\xFD
Home key    \xFD\x02\x02\x07\x0E\xFD
Page Up key   \xFD\x02\x02\x07\x0F\xFD
Caps Lock key   \xFD\x02\x02\x07\x10\xFD
Shift key   \xFD\x02\x02\x07\x11\xFD
Esc key   \xFD\x02\x02\x07\x12\xFD
Ctrl key    \xFD\x02\x02\x07\x13\xFD
Delete key    \xFD\x02\x02\x07\x14\xFD
Element   \xFD\x02\x02\x08\x01\xFD
Camp    \xFD\x02\x02\x08\x02\xFD
Job Ability   \xFD\x02\x02\x08\x03\xFD
Job   \xFD\x02\x02\x08\x04\xFD
Title   \xFD\x02\x02\x08\x05\xFD
Signet    \xFD\x02\x02\x08\x06\xFD
Looking for Party   \xFD\x02\x02\x08\x07\xFD
Help Desk   \xFD\x02\x02\x08\x08\xFD
Gardening   \xFD\x02\x02\x08\x09\xFD
Conquest    \xFD\x02\x02\x08\x0A\xFD
Command   \xFD\x02\x02\x08\x0B\xFD
Conquest Points   \xFD\x02\x02\x08\x0C\xFD
Synthesis   \xFD\x02\x02\x08\x0D\xFD
Attack    \xFD\x02\x02\x08\x0E\xFD
Experience points   \xFD\x02\x02\x08\x0F\xFD
Invite to Join Party    \xFD\x02\x02\x08\x10\xFD
Area    \xFD\x02\x02\x08\x11\xFD
Icon    \xFD\x02\x02\x08\x12\xFD
Chat    \xFD\x02\x02\x08\x13\xFD
Item    \xFD\x02\x02\x08\x14\xFD
Dig   \xFD\x02\x02\x08\x15\xFD
Ability   \xFD\x02\x02\x08\x16\xFD
Quest   \xFD\x02\x02\x08\x17\xFD
Song    \xFD\x02\x02\x08\x18\xFD
Call for Help   \xFD\x02\x02\x08\x19\xFD
Ranged Attack   \xFD\x02\x02\x08\x1A\xFD
Auction   \xFD\x02\x02\x08\x1B\xFD
Auto-Attack   \xFD\x02\x02\x08\x1C\xFD
Disband   \xFD\x02\x02\x08\x1D\xFD
Pirates   \xFD\x02\x02\x08\x1E\xFD
Skill   \xFD\x02\x02\x08\x1F\xFD
Weapon Skill    \xFD\x02\x02\x08\x20\xFD
Consulate   \xFD\x02\x02\x08\x21\xFD
Job Change    \xFD\x02\x02\x08\x22\xFD
Magic   \xFD\x02\x02\x08\x23\xFD
Mission   \xFD\x02\x02\x08\x24\xFD
Moogle    \xFD\x02\x02\x08\x25\xFD
Mog Safe    \xFD\x02\x02\x08\x26\xFD
Delivery Box    \xFD\x02\x02\x08\x27\xFD
Region    \xFD\x02\x02\x08\x28\xFD
Home Point    \xFD\x02\x02\x08\x29\xFD
Rare    \xFD\x02\x02\x08\x2A\xFD
Layout    \xFD\x02\x02\x08\x2B\xFD
Resist    \xFD\x02\x02\x08\x2C\xFD
Skillchain    \xFD\x02\x02\x08\x2D\xFD
Lock On   \xFD\x02\x02\x08\x2E\xFD
Cast Lots   \xFD\x02\x02\x08\x2F\xFD
Mog House   \xFD\x02\x02\x08\x30\xFD
Dungeon   \xFD\x02\x02\x08\x31\xFD
World   \xFD\x02\x02\x08\x32\xFD
Production    \xFD\x02\x02\x08\x33\xFD
Battle    \xFD\x02\x02\x08\x34\xFD
Disengage   \xFD\x02\x02\x08\x35\xFD
Treasure    \xFD\x02\x02\x08\x36\xFD
Target    \xFD\x02\x02\x08\x37\xFD
Check   \xFD\x02\x02\x08\x38\xFD
Trade   \xFD\x02\x02\x08\x39\xFD
Bazaar    \xFD\x02\x02\x08\x3A\xFD
Pass    \xFD\x02\x02\x08\x3B\xFD
Healing   \xFD\x02\x02\x08\x3C\xFD
Pet Commands    \xFD\x02\x02\x08\x3D\xFD
Equip   \xFD\x02\x02\x08\x3E\xFD
Switch Target   \xFD\x02\x02\x08\x3F\xFD
Log   \xFD\x02\x02\x08\x40\xFD
User Glossary   \xFD\x02\x02\x08\x41\xFD
Storage   \xFD\x02\x02\x08\x42\xFD
Synthesis Materials   \xFD\x02\x02\x08\x43\xFD
Ammunition    \xFD\x02\x02\x08\x44\xFD
Fishing Gear    \xFD\x02\x02\x08\x45\xFD
Pet Items   \xFD\x02\x02\x08\x46\xFD
Meals   \xFD\x02\x02\x08\x47\xFD
Ingredients   \xFD\x02\x02\x08\x48\xFD
Seafood   \xFD\x02\x02\x08\x49\xFD
Meat dishes   \xFD\x02\x02\x08\x4A\xFD
Egg dishes    \xFD\x02\x02\x08\x4B\xFD
Seafood dishes    \xFD\x02\x02\x08\x4C\xFD
Soups   \xFD\x02\x02\x08\x4D\xFD
Breads & Rice   \xFD\x02\x02\x08\x4E\xFD
Sweets    \xFD\x02\x02\x08\x4F\xFD
Drinks    \xFD\x02\x02\x08\x50\xFD
Miscellaneous   \xFD\x02\x02\x08\x51\xFD
Beastman-made   \xFD\x02\x02\x08\x52\xFD
Cards   \xFD\x02\x02\x08\x53\xFD
Ninja Tools   \xFD\x02\x02\x08\x54\xFD
Cursed Items    \xFD\x02\x02\x08\x55\xFD
Rent-a-Room   \xFD\x02\x02\x08\x56\xFD
Outpost   \xFD\x02\x02\x08\x57\xFD
Crystal   \xFD\x02\x02\x08\x58\xFD
Beastmen's Seal   \xFD\x02\x02\x08\x59\xFD
Kindred's Seal    \xFD\x02\x02\x08\x5A\xFD
Weakened    \xFD\x02\x02\x08\x5B\xFD
Cursed    \xFD\x02\x02\x08\x5C\xFD
Diseased    \xFD\x02\x02\x08\x5D\xFD
Asleep    \xFD\x02\x02\x08\x5E\xFD
Blinded   \xFD\x02\x02\x08\x5F\xFD
Paralyzed   \xFD\x02\x02\x08\x60\xFD
Poisoned    \xFD\x02\x02\x08\x61\xFD
Charmed   \xFD\x02\x02\x08\x62\xFD
Furnishings   \xFD\x02\x02\x08\x63\xFD
Vegetable dishes    \xFD\x02\x02\x08\x64\xFD
Petrified   \xFD\x02\x02\x08\x65\xFD
Weighed down    \xFD\x02\x02\x08\x66\xFD
Weighed down    \xFD\x02\x02\x08\x67\xFD
Silenced    \xFD\x02\x02\x08\x68\xFD
Conflict    \xFD\x02\x02\x08\x69\xFD
Ballista    \xFD\x02\x02\x08\x6A\xFD
Rook    \xFD\x02\x02\x08\x6B\xFD
Scout   \xFD\x02\x02\x08\x6C\xFD
Sprint    \xFD\x02\x02\x08\x6D\xFD
Petra   \xFD\x02\x02\x08\x6E\xFD
Quarry    \xFD\x02\x02\x08\x6F\xFD
Garrison    \xFD\x02\x02\x08\x70\xFD
Expeditionary Force   \xFD\x02\x02\x08\x71\xFD
Gate Breach   \xFD\x02\x02\x08\x72\xFD
Brenner   \xFD\x02\x02\x08\x73\xFD
Besieged    \xFD\x02\x02\x08\x74\xFD
Assault   \xFD\x02\x02\x08\x75\xFD
Rank Evaluation   \xFD\x02\x02\x08\x76\xFD
Mercenary Assessment    \xFD\x02\x02\x08\x77\xFD
Mercenary Rank    \xFD\x02\x02\x08\x78\xFD
Assault Points    \xFD\x02\x02\x08\x79\xFD
Imperial Standing   \xFD\x02\x02\x08\x7A\xFD
Runic Seal    \xFD\x02\x02\x08\x7B\xFD
Runic Portal    \xFD\x02\x02\x08\x7C\xFD
Astral Candescence    \xFD\x02\x02\x08\x7D\xFD
Mamool Ja Savages   \xFD\x02\x02\x08\x7E\xFD
Troll Mercenaries   \xFD\x02\x02\x08\x7F\xFD
Undead Swarm    \xFD\x02\x02\x08\x80\xFD
Immortals   \xFD\x02\x02\x08\x81\xFD
Gordeus   \xFD\x02\x02\x08\x82\xFD
Automaton   \xFD\x02\x02\x08\x83\xFD
Chocobo stables   \xFD\x02\x02\x08\x84\xFD
Chocobo raising   \xFD\x02\x02\x08\x85\xFD
Care schedule   \xFD\x02\x02\x08\x86\xFD
Plan length   \xFD\x02\x02\x08\x87\xFD
Matchmaking   \xFD\x02\x02\x08\x88\xFD
Care    \xFD\x02\x02\x08\x89\xFD
Feed    \xFD\x02\x02\x08\x8A\xFD
Burrow    \xFD\x02\x02\x08\x8B\xFD
Bore    \xFD\x02\x02\x08\x8C\xFD
Mental    \xFD\x02\x02\x08\x8D\xFD
Physical    \xFD\x02\x02\x08\x8E\xFD
Outing    \xFD\x02\x02\x08\x8F\xFD
Owner   \xFD\x02\x02\x08\x90\xFD
Race    \xFD\x02\x02\x08\x91\xFD
Strength    \xFD\x02\x02\x08\x92\xFD
Endurance   \xFD\x02\x02\x08\x93\xFD
Discernment   \xFD\x02\x02\x08\x94\xFD
Receptivity   \xFD\x02\x02\x08\x95\xFD
Affection   \xFD\x02\x02\x08\x96\xFD
Energy    \xFD\x02\x02\x08\x97\xFD
Stamina   \xFD\x02\x02\x08\x98\xFD
Retirement    \xFD\x02\x02\x08\x99\xFD
Destrier    \xFD\x02\x02\x08\x9A\xFD
Courser   \xFD\x02\x02\x08\x9B\xFD
Palfrey   \xFD\x02\x02\x08\x9C\xFD
Jennet    \xFD\x02\x02\x08\x9D\xFD
Rounsey   \xFD\x02\x02\x08\x9E\xFD
Mog Locker    \xFD\x02\x02\x08\x9F\xFD
Salvage   \xFD\x02\x02\x08\xA0\xFD
Support Job   \xFD\x02\x02\x08\xA1\xFD
Sanction    \xFD\x02\x02\x08\xA2\xFD
Healing Breath    \xFD\x02\x02\x08\xA3\xFD
Chocobo Racing    \xFD\x02\x02\x08\xA4\xFD
Chocobucks    \xFD\x02\x02\x08\xA5\xFD
Einherjar   \xFD\x02\x02\x08\xA6\xFD
Grip    \xFD\x02\x02\x08\xA7\xFD
Pankration    \xFD\x02\x02\x08\xA8\xFD
Feral Skill   \xFD\x02\x02\x08\xA9\xFD
Feral Drain   \xFD\x02\x02\x08\xAA\xFD
FP    \xFD\x02\x02\x08\xAB\xFD
Kamp Kweh   \xFD\x02\x02\x08\xAC\xFD
FP    \xFD\x02\x02\x08\xAD\xFD
Campaign    \xFD\x02\x02\x08\xAE\xFD
Allied Notes    \xFD\x02\x02\x08\xAF\xFD
Morale    \xFD\x02\x02\x08\xB0\xFD
Prosperity    \xFD\x02\x02\x08\xB1\xFD
Reconnaissance    \xFD\x02\x02\x08\xB2\xFD
Fortifications    \xFD\x02\x02\x08\xB3\xFD
Resources   \xFD\x02\x02\x08\xB4\xFD
Influence   \xFD\x02\x02\x08\xB5\xFD
Controlled Areas    \xFD\x02\x02\x08\xB6\xFD
Heroism Gauge   \xFD\x02\x02\x08\xB7\xFD
In Conflict   \xFD\x02\x02\x08\xB8\xFD
Confederate Icon    \xFD\x02\x02\x08\xB9\xFD
Layer Area    \xFD\x02\x02\x08\xBA\xFD
Campaign Evaluation   \xFD\x02\x02\x08\xBB\xFD
Allied Tags   \xFD\x02\x02\x08\xBC\xFD
Sigil   \xFD\x02\x02\x08\xBD\xFD
Temporary Item    \xFD\x02\x02\x08\xBE\xFD
Campaign Ops    \xFD\x02\x02\x08\xBF\xFD
Campaign Ops    \xFD\x02\x02\x08\xC0\xFD
campaign battle   \xFD\x02\x02\x08\xC1\xFD
checkpoint garrison   \xFD\x02\x02\x08\xC2\xFD
medal   \xFD\x02\x02\x08\xC3\xFD
opinion poll    \xFD\x02\x02\x08\xC4\xFD
audience    \xFD\x02\x02\x08\xC5\xFD
war climate details   \xFD\x02\x02\x08\xC6\xFD
battle strategies   \xFD\x02\x02\x08\xC7\xFD
internal policy   \xFD\x02\x02\x08\xC8\xFD
skill (Campaign)    \xFD\x02\x02\x08\xC9\xFD
production    \xFD\x02\x02\x08\xCA\xFD
Op Credits    \xFD\x02\x02\x08\xCB\xFD
Campaign Ops    \xFD\x02\x02\x08\xCC\xFD
Campaign Ops    \xFD\x02\x02\x08\xCD\xFD
Level Sync    \xFD\x02\x02\x08\xCE\xFD
Fellow    \xFD\x02\x02\x08\xCF\xFD
Airship   \xFD\x02\x02\x09\x01\xFD
Ship    \xFD\x02\x02\x09\x02\xFD
Chocobo   \xFD\x02\x02\x09\x03\xFD
Elvaan    \xFD\x02\x02\x0A\x01\xFD
Elvaan    \xFD\x02\x02\x0A\x02\xFD
Galka   \xFD\x02\x02\x0A\x03\xFD
Tarutaru    \xFD\x02\x02\x0A\x04\xFD
Hume    \xFD\x02\x02\x0A\x05\xFD
Mithra    \xFD\x02\x02\x0A\x06\xFD
Zilart    \xFD\x02\x02\x0A\x07\xFD
Connection Speed    \xFD\x02\x02\x0B\x01\xFD
Black List    \xFD\x02\x02\x0B\x02\xFD
Friend List   \xFD\x02\x02\x0B\x03\xFD
Config    \xFD\x02\x02\x0B\x04\xFD
Connection    \xFD\x02\x02\x0B\x05\xFD
Screenshot    \xFD\x02\x02\x0B\x06\xFD
Patch   \xFD\x02\x02\x0B\x07\xFD
Version   \xFD\x02\x02\x0B\x08\xFD
Connection Lost   \xFD\x02\x02\x0B\x09\xFD
Lag   \xFD\x02\x02\x0B\x0A\xFD
Filter    \xFD\x02\x02\x0B\x0B\xFD
Client    \xFD\x02\x02\x0B\x0C\xFD
Backup    \xFD\x02\x02\x0B\x0D\xFD
Ignore List   \xFD\x02\x02\x0B\x0E\xFD
Save    \xFD\x02\x02\x0B\x0F\xFD
TV    \xFD\x02\x02\x0B\x10\xFD
Modem   \xFD\x02\x02\x0B\x11\xFD
Monitor   \xFD\x02\x02\x0B\x12\xFD
Log off   \xFD\x02\x02\x0B\x13\xFD
Log on    \xFD\x02\x02\x0B\x14\xFD
Power   \xFD\x02\x02\x0B\x15\xFD
Phone Line    \xFD\x02\x02\x0B\x16\xFD
Hard Disk   \xFD\x02\x02\x0B\x17\xFD
Server    \xFD\x02\x02\x0B\x18\xFD
Macro   \xFD\x02\x02\x0B\x19\xFD
President   \xFD\x02\x02\x0C\x01\xFD
Chief   \xFD\x02\x02\x0C\x02\xFD
General   \xFD\x02\x02\x0C\x03\xFD
Shopkeep    \xFD\x02\x02\x0C\x04\xFD
Star Sibyl    \xFD\x02\x02\x0C\x05\xFD
Knight    \xFD\x02\x02\x0C\x06\xFD
Member    \xFD\x02\x02\x0C\x07\xFD
Pet   \xFD\x02\x02\x0C\x08\xFD
Boss    \xFD\x02\x02\x0C\x09\xFD
Monster   \xFD\x02\x02\x0C\x0A\xFD
Last Boss   \xFD\x02\x02\x0C\x0B\xFD
Mega Boss   \xFD\x02\x02\x0C\x0C\xFD
Notorious Monster   \xFD\x02\x02\x0C\x0D\xFD
Guildmaster   \xFD\x02\x02\x0C\x0E\xFD
Enemy   \xFD\x02\x02\x0C\x0F\xFD
Clerk   \xFD\x02\x02\x0C\x10\xFD
Recruit   \xFD\x02\x02\x0C\x11\xFD
Musketeer   \xFD\x02\x02\x0C\x12\xFD
Minister    \xFD\x02\x02\x0C\x13\xFD
Prince    \xFD\x02\x02\x0C\x14\xFD
King    \xFD\x02\x02\x0C\x15\xFD
High Guard    \xFD\x02\x02\x0C\x16\xFD
Sub Boss    \xFD\x02\x02\x0C\x17\xFD
Chieftainness   \xFD\x02\x02\x0C\x18\xFD
Leader    \xFD\x02\x02\x0C\x19\xFD
Princess    \xFD\x02\x02\x0C\x1A\xFD
Archduke    \xFD\x02\x02\x0C\x1B\xFD
Amateur   \xFD\x02\x02\x0C\x1C\xFD
Recruit   \xFD\x02\x02\x0C\x1D\xFD
Initiate    \xFD\x02\x02\x0C\x1E\xFD
Novice    \xFD\x02\x02\x0C\x1F\xFD
Apprentice    \xFD\x02\x02\x0C\x20\xFD
Journeyman    \xFD\x02\x02\x0C\x21\xFD
Craftsman   \xFD\x02\x02\x0C\x22\xFD
Artisan   \xFD\x02\x02\x0C\x23\xFD
Adept   \xFD\x02\x02\x0C\x24\xFD
Veteran   \xFD\x02\x02\x0C\x25\xFD
Herald    \xFD\x02\x02\x0C\x26\xFD
Theologian    \xFD\x02\x02\x0C\x27\xFD
Cardinal    \xFD\x02\x02\x0C\x28\xFD
Private Second Class    \xFD\x02\x02\x0C\x29\xFD
Private First Class   \xFD\x02\x02\x0C\x2A\xFD
Superior Private    \xFD\x02\x02\x0C\x2B\xFD
Lance Corporal    \xFD\x02\x02\x0C\x2C\xFD
Corporal    \xFD\x02\x02\x0C\x2D\xFD
Sergeant    \xFD\x02\x02\x0C\x2E\xFD
Sergeant Major    \xFD\x02\x02\x0C\x2F\xFD
Chief Sergeant    \xFD\x02\x02\x0C\x30\xFD
Mercenary   \xFD\x02\x02\x0C\x31\xFD
Second Lieutenant   \xFD\x02\x02\x0C\x32\xFD
First Lieutenant    \xFD\x02\x02\x0C\x33\xFD
Captain   \xFD\x02\x02\x0C\x34\xFD
/item   \xFD\x02\x02\x0D\x02\xFD
/online   \xFD\x02\x02\x0D\x03\xFD
/song   \xFD\x02\x02\x0D\x04\xFD
/autotarget   \xFD\x02\x02\x0D\x05\xFD
/anon   \xFD\x02\x02\x0D\x06\xFD
/attack   \xFD\x02\x02\x0D\x07\xFD
/say    \xFD\x02\x02\x0D\x08\xFD
/target   \xFD\x02\x02\x0D\x09\xFD
/assist   \xFD\x02\x02\x0D\x0A\xFD
/servmes    \xFD\x02\x02\x0D\x0B\xFD
/targetpc   \xFD\x02\x02\x0D\x0C\xFD
/linkshell    \xFD\x02\x02\x0D\x0D\xFD
/fish   \xFD\x02\x02\x0D\x0E\xFD
/volunteer    \xFD\x02\x02\x0D\x0F\xFD
/autogroup    \xFD\x02\x02\x0D\x10\xFD
/party    \xFD\x02\x02\x0D\x11\xFD
/kneel    \xFD\x02\x02\x0D\x12\xFD
/echo   \xFD\x02\x02\x0D\x13\xFD
/tell   \xFD\x02\x02\x0D\x14\xFD
/jobability   \xFD\x02\x02\x0D\x15\xFD
/heal   \xFD\x02\x02\x0D\x16\xFD
/targetnpc    \xFD\x02\x02\x0D\x17\xFD
/cry    \xFD\x02\x02\x0D\x18\xFD
/lockon   \xFD\x02\x02\x0D\x19\xFD
/follow   \xFD\x02\x02\x0D\x1A\xFD
/cheer    \xFD\x02\x02\x0D\x1B\xFD
/nod    \xFD\x02\x02\x0D\x1C\xFD
/dig    \xFD\x02\x02\x0D\x1D\xFD
/welcome    \xFD\x02\x02\x0D\x1E\xFD
/goodbye    \xFD\x02\x02\x0D\x1F\xFD
/farewell   \xFD\x02\x02\x0D\x20\xFD
/garden   \xFD\x02\x02\x0D\x21\xFD
/point    \xFD\x02\x02\x0D\x22\xFD
/no   \xFD\x02\x02\x0D\x23\xFD
/names    \xFD\x02\x02\x0D\x24\xFD
/laugh    \xFD\x02\x02\x0D\x25\xFD
/salute   \xFD\x02\x02\x0D\x26\xFD
/wave   \xFD\x02\x02\x0D\x27\xFD
/pet    \xFD\x02\x02\x0D\x28\xFD
/dismount   \xFD\x02\x02\x0D\x29\xFD
/shoot    \xFD\x02\x02\x0D\x2A\xFD
/ver    \xFD\x02\x02\x0D\x2B\xFD
/away   \xFD\x02\x02\x0D\x2C\xFD
/shout    \xFD\x02\x02\x0D\x2D\xFD
/yes    \xFD\x02\x02\x0D\x2E\xFD
/stagger    \xFD\x02\x02\x0D\x2F\xFD
/propose    \xFD\x02\x02\x0D\x30\xFD
/blush    \xFD\x02\x02\x0D\x31\xFD
/stare    \xFD\x02\x02\x0D\x32\xFD
/deliverybox    \xFD\x02\x02\x0D\x33\xFD
/helpdesk   \xFD\x02\x02\x0D\x34\xFD
/amazed   \xFD\x02\x02\x0D\x35\xFD
/vote   \xFD\x02\x02\x0D\x36\xFD
/muted    \xFD\x02\x02\x0D\x37\xFD
/psych    \xFD\x02\x02\x0D\x38\xFD
/sigh   \xFD\x02\x02\x0D\x39\xFD
/slap   \xFD\x02\x02\x0D\x3A\xFD
/poke   \xFD\x02\x02\x0D\x3B\xFD
/smile    \xFD\x02\x02\x0D\x3C\xFD
/disgusted    \xFD\x02\x02\x0D\x3D\xFD
/surprised    \xFD\x02\x02\x0D\x3E\xFD
/dance    \xFD\x02\x02\x0D\x3F\xFD
/angry    \xFD\x02\x02\x0D\x40\xFD
/upset    \xFD\x02\x02\x0D\x41\xFD
/comfort    \xFD\x02\x02\x0D\x42\xFD
/makelinkshell    \xFD\x02\x02\x0D\x43\xFD
/clock    \xFD\x02\x02\x0D\x45\xFD
/playlog    \xFD\x02\x02\x0D\x46\xFD
/playtime   \xFD\x02\x02\x0D\x47\xFD
/quest    \xFD\x02\x02\x0D\x48\xFD
/regionmap    \xFD\x02\x02\x0D\x49\xFD
/emote    \xFD\x02\x02\x0D\x4A\xFD
/mission    \xFD\x02\x02\x0D\x4B\xFD
/nominate   \xFD\x02\x02\x0D\x4C\xFD
/breaklinkshell   \xFD\x02\x02\x0D\x4D\xFD
/wait   \xFD\x02\x02\x0D\x4E\xFD
/joy    \xFD\x02\x02\x0D\x4F\xFD
/friendlist   \xFD\x02\x02\x0D\x50\xFD
/bow    \xFD\x02\x02\x0D\x51\xFD
/logout   \xFD\x02\x02\x0D\x52\xFD
/automove   \xFD\x02\x02\x0D\x53\xFD
/chatmode   \xFD\x02\x02\x0D\x54\xFD
/supportdesk    \xFD\x02\x02\x0D\x55\xFD
/search   \xFD\x02\x02\x0D\x56\xFD
/keyitem    \xFD\x02\x02\x0D\x57\xFD
/clap   \xFD\x02\x02\x0D\x58\xFD
/magic    \xFD\x02\x02\x0D\x59\xFD
/hide   \xFD\x02\x02\x0D\x5A\xFD
